brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,price
Carlisle FoodService Products,ASUS VivoBook L203,11.6,Black,64.0,Celeron N4000,4.0,Windows 10 S,Integrated,134.9
Gigabyte,G5 KF-E3US333SH,15.6,Black,512.0,Core i5,8.0,Windows 11 Home,Dedicated,879.99
ASUS,Vivobook 15X,15.6,Indie Black,1.0,Ryzen 7,16.0,Windows 11 Home,Integrated,749.99
acer,Chromebook Spin,11.6,Silver,64.0,Celeron N4000,4.0,Chrome OS,Integrated,226.0
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
ASUS,Zenbook Pro 14 Duo,14.5,Tech Black,1.0,Core i9,32.0,Windows 11 Home,Dedicated,2399.99
ASUS,ASUS Chromebook C203XA,11.6,Grey,32.0,MediaTek_MT8127,4.0,Chrome OS,Integrated,184.62
MSI,Stealth 17Studio A13VH-053US,17.3,Black,1.0,Core i9,32.0,Windows 11 Home,RTX 4080,2793.89
Lenovo,Ideapad,15.6,Platinum Grey,256.0,Intel Core i3,8.0,Windows 11 Home,Intel UHD Graphics,429.0
MSI,MSI GF63,15.6,Black,512.0,Core i5 Family,16.0,Windows 10 Home,Dedicated,729.99
Apple,"2022 Apple MacBook Air M2, 16GB RAM, 256GB Storage - Space Gray (Z15S000CT)",13.6,Black,256.0,Apple M1,16.0,macOS 12 Monterey,Integrated,1255.94
